omm_id;hydro_year;Date;ETreal_mm;HumedadSuelo_mm;IndicePalmer_porc;RadSolar_Wpm2;helio;hr;hr_max/mes;hr_min/mes;prcp_PMDA;prcp_PTA;pres_est;td;tmax;tmed;tmin;vmax_f;vmed
87466;1967;1967-12-31;701.0;126.0;1.94;283.8;9.76;50.94;78.0;39.0;17.0;66.9;18.98;14.95;39.0;23.55;8.1;3.92;3.59
87466;1967;1968-01-31;806.0;98.0;1.07;278.5;8.87;54.68;74.0;35.0;56.8;132.1;18.87;14.45;36.2;21.85;7.5;4.12;3.19
87466;1967;1968-02-29;775.0;81.0;-1.99;252.6;8.91;54.83;78.0;37.0;26.5;79.5;19.64;14.79;37.2;22.6;8.0;3.59;2.91
87466;1967;1968-03-31;1177.0;79.0;-1.88;206.5;7.22;61.06;75.0;47.0;64.7;134.9;16.75;13.12;37.2;21.1;5.0;3.37;3.68
87466;1967;1968-04-30;74.0;67.0;-2.93;173.4;7.84;54.87;69.0;49.0;0.0;0.0;13.09;7.04;31.1;14.9;-1.3;3.4;3.78
87466;1967;1968-05-31;112.0;59.0;-3.37;130.7;7.8;53.35;71.0;37.0;3.5;4.7;11.28;3.54;30.2;12.1;-6.0;3.1;2.24
87466;1968;1968-06-30;366.0;439.0;-2.03;81.5;2.84;72.6;84.0;56.0;28.7;68.9;10.08;6.4;28.0;14.25;0.5;3.11;2.01
87466;1968;1968-07-31;346.0;181.0;-2.0;102.9;4.49;73.19;89.0;52.0;0.2;0.30000000000000004;10.53;8.63;25.2;11.1;-3.0;3.57;2.46
87466;1968;1968-08-31;435.0;126.0;-1.52;126.0;5.58;77.39;90.0;56.0;16.0;24.0;10.0;9.79;30.2;14.35;-1.5;4.07;3.52
87466;1968;1968-09-30;388.0;98.0;-1.75;189.8;7.59;67.0;91.0;52.0;23.5;30.3;10.62;9.13;33.7;15.6;-2.5;5.16;4.4
87466;1968;1968-10-31;891.0;80.0;-1.51;209.4;5.71;77.0;92.0;57.0;36.0;97.5;12.41;13.01;33.0;18.75;4.5;4.79;4.54
87466;1968;1968-11-30;629.0;68.0;-2.27;256.0;9.68;66.63;86.0;47.0;11.9;41.6;16.71;17.57;36.5;22.15;7.8;4.3;3.69
87466;1968;1968-12-31;1622.0;60.0;-1.41;264.7;8.52;65.55;88.0;48.0;41.2;190.4;17.37;16.48;41.2;24.35;7.5;3.95;3.73
87466;1968;1969-01-31;590.0;53.0;-2.2;282.5;10.66;64.1;87.0;53.0;19.0;57.6;21.04;18.18;40.5;25.75;11.0;3.92;2.15
87466;1968;1969-02-28;995.0;48.0;-2.15;266.5;9.22;66.14;89.0;52.0;19.0;39.2;19.94;17.84;36.5;22.7;8.9;4.22;3.0
87466;1968;1969-03-31;1245.0;97.0;-1.94;219.3;7.57;72.97;91.0;58.0;38.5;147.2;18.31;16.76;36.1;22.05;8.0;3.83;3.27
87466;1968;1969-04-30;858.0;305.0;-1.26;155.2;8.12;72.03;90.0;60.0;21.5;32.0;15.98;13.96;31.7;17.95;4.2;3.57;3.2
87466;1968;1969-05-31;579.0;348.0;0.96;103.3;5.01;78.39;96.0;59.0;15.0;43.0;13.04;11.7;31.2;15.35;-0.5;3.61;3.46
87466;1969;1969-06-30;410.0;302.0;1.57;82.8;5.41;77.23;94.0;63.0;6.0;12.5;9.89;6.88;29.7;13.05;-3.6;4.53;3.13
87466;1969;1969-07-31;223.0;158.0;1.12;108.8;5.58;76.68;95.0;65.0;10.5;12.5;9.79;7.88;32.0;13.75;-4.5;4.44;3.53
87466;1969;1969-08-31;135.0;115.0;0.42;144.6;7.44;64.26;94.0;45.0;4.0;4.0;9.07;3.97;26.9;10.35;-6.2;3.97;3.34
87466;1969;1969-09-30;544.0;91.0;0.06;195.7;7.36;58.03;83.0;36.0;18.0;44.7;11.37;7.68;35.5;17.5;-0.5;4.18;4.19
87466;1969;1969-10-31;444.0;75.0;-1.49;220.3;8.35;50.23;80.0;32.0;17.0;27.2;12.78;7.06;32.2;15.1;-2.0;5.2;4.96
87466;1969;1969-11-30;1450.0;65.0;-0.16;257.1;8.93;58.2;83.0;36.0;64.5;168.5;16.05;12.67;34.7;19.45;4.2;4.78;3.9
87466;1969;1969-12-31;687.0;57.0;-1.25;257.6;9.48;57.58;76.0;42.0;17.0;40.7;18.24;16.64;38.7;25.85;13.0;3.66;2.88
87466;1969;1970-01-31;1405.0;51.0;-0.37;274.6;8.59;59.45;79.0;42.0;44.5;134.6;18.97;16.16;36.7;23.35;10.0;4.23;2.75
87466;1969;1970-02-28;783.0;46.0;-1.09;255.5;9.25;60.64;80.0;40.0;53.8;73.89999999999999;21.35;16.42;39.7;23.6;7.5;4.18;3.03
87466;1969;1970-03-31;1270.0;317.0;-0.43;200.9;7.21;64.03;83.0;49.0;76.0;158.0;17.93;15.41;36.7;22.2;7.7;3.69;2.63
87466;1969;1970-04-30;397.0;165.0;-1.44;153.8;6.26;64.97;81.0;53.0;5.0;10.0;17.55;14.38;34.3;20.65;7.0;3.45;2.53
87466;1969;1970-05-31;343.0;119.0;-1.6;119.2;4.86;67.1;87.0;42.0;14.0;22.0;11.67;7.95;27.7;13.85;0.0;3.38;2.18
87466;1970;1970-06-30;102.0;93.0;-2.05;90.0;5.16;67.57;93.0;38.0;2.5;6.8;9.7;3.9;21.0;8.5;-4.0;3.95;2.36
