omm_id;hydro_year;Date;helio;hr;hr_max/mes;hr_min/mes;nub;prcp_PMDA;prcp_PTA;pres_est;pres_nm;td;tmax;tmed;tmin;vmax_d;vmax_f;vmed
87467;1966;1967-01-31;10.24;58.26;87.0;43.0;2.74;28.6;92.3;996.36;1009.21;15.48;38.6;25.16;10.1;36.0;16.5;4.86
87467;1966;1967-02-28;10.26;60.5;94.0;46.0;2.18;53.2;161.6;998.48;1011.49;15.28;36.1;24.28;9.1;36.0;20.6;4.99
87467;1966;1967-03-31;7.92;55.52;81.0;33.0;2.81;67.0;68.3;1000.1;1013.2;11.35;37.9;21.9;6.3;36.0;21.6;4.62
87467;1966;1967-04-30;6.67;76.43;98.0;60.0;2.9;57.8;126.3;1002.64;1015.93;13.66;33.4;18.49;2.5;36.0;20.6;4.24
87467;1966;1967-05-31;4.36;77.45;99.0;53.0;4.32;14.8;16.4;999.65;1012.9;12.96;32.3;17.77;6.3;23.0;23.7;5.63
87467;1967;1967-06-30;4.96;73.17;98.0;45.0;3.93;4.9;11.8;1005.45;1019.3;1.16;18.8;6.66;-10.0;36.0;16.5;4.54
87467;1967;1967-07-31;5.46;75.79;99.0;45.0;3.86;17.6;25.5;1003.78;1017.48;5.36;22.3;10.25;-2.6;36.0;16.5;5.15
87467;1967;1967-08-31;5.92;72.81;96.0;22.0;3.55;27.0;38.5;1002.43;1016.0;5.64;23.0;11.38;-3.1;34.0;23.2;5.12
87467;1967;1967-09-30;6.17;68.53;98.0;40.0;3.27;63.2;96.30000000000001;1002.51;1015.98;7.88;29.2;14.67;-2.1;36.0;82.8;6.71
87467;1967;1967-10-31;6.54;82.19;99.0;68.0;4.45;59.6;299.4;999.15;1012.41;14.84;29.5;18.17;4.4;36.0;26.2;6.37
87467;1967;1967-11-30;9.52;66.67;92.0;41.0;3.33;38.6;59.4;999.46;1012.76;14.45;32.7;21.64;7.0;36.0;16.5;5.03
87467;1967;1967-12-31;9.06;49.35;97.0;28.0;2.58;19.1;49.1;997.43;1010.32;13.87;39.0;26.77;7.6;34.0;18.0;5.95
87467;1967;1968-01-31;9.41;57.71;89.0;32.0;3.16;17.8;55.9;998.11;1011.02;14.95;38.0;25.13;8.2;36.0;18.0;5.29
87467;1967;1968-02-29;9.68;56.72;90.0;32.0;2.55;26.6;81.1;997.06;1010.01;14.88;37.9;25.43;7.7;36.0;15.4;5.95
87467;1967;1968-03-31;7.89;69.68;94.0;44.0;3.1;76.0;159.7;1001.23;1014.42;14.65;39.0;21.3;5.2;36.0;15.4;4.85
87467;1967;1968-04-30;8.53;57.63;84.0;43.0;1.97;0.9;0.9;1004.11;1017.58;6.56;31.2;16.03;-0.7;36.0;20.6;4.37
87467;1967;1968-05-31;7.79;55.35;86.0;32.0;2.29;3.6;4.7;1005.17;1018.82;2.66;30.7;12.62;-4.4;36.0;24.7;4.4
87467;1968;1968-06-30;2.72;85.37;99.0;65.0;5.93;33.7;72.60000000000001;1005.63;1019.37;8.51;26.2;11.26;1.5;36.0;18.0;4.64
87467;1968;1968-07-31;4.32;81.03;100.0;57.0;4.71;0.4;0.4;1005.07;1018.68;9.61;25.7;13.3;-2.7;23.0;12.9;4.89
87467;1968;1968-08-31;4.4;78.16;94.0;51.0;3.48;10.7;24.1;1005.02;1018.55;9.16;30.1;13.42;-2.7;36.0;19.5;5.81
87467;1968;1968-09-30;7.5;61.5;95.0;37.0;3.3;28.4;34.9;1004.25;1017.71;6.71;33.8;15.25;-2.3;36.0;20.6;6.83
87467;1968;1968-10-31;5.61;77.77;97.0;51.0;4.77;48.0;110.2;1000.26;1013.62;12.78;33.0;17.3;4.5;36.0;12.9;6.58
87467;1968;1968-11-30;9.68;62.33;85.0;39.0;3.47;11.3;37.4;997.49;1010.46;16.28;37.5;24.79;8.4;36.0;14.9;5.46
87467;1968;1968-12-31;8.11;64.55;93.0;39.0;3.68;37.0;167.7;996.18;1009.06;15.83;41.6;23.86;7.9;36.0;19.0;5.9
87467;1968;1969-01-31;10.99;59.06;88.0;42.0;2.42;19.7;62.7;995.14;1007.99;16.37;41.2;25.93;10.0;36.0;12.3;4.65
87467;1968;1969-02-28;9.48;61.14;93.0;42.0;2.96;27.0;97.2;996.56;1009.38;16.03;37.4;25.06;8.1;36.0;12.3;5.21
87467;1968;1969-03-31;7.55;70.23;94.0;49.0;3.1;39.6;145.20000000000002;1000.03;1013.17;15.64;37.0;22.11;8.4;36.0;12.3;5.32
87467;1968;1969-04-30;8.32;67.43;94.0;48.0;2.63;25.2;36.0;1000.74;1013.97;12.41;32.6;19.43;4.8;36.0;12.9;4.67
87467;1968;1969-05-31;4.96;79.42;99.0;60.0;4.03;14.9;42.8;1001.16;1014.57;11.59;30.6;15.8;-0.1;36.0;16.5;5.0
87467;1969;1969-06-30;5.18;75.33;98.0;53.0;3.3;5.6;14.7;1002.59;1016.35;6.03;30.1;10.98;-4.3;36.0;18.0;6.3
87467;1969;1969-07-31;5.14;72.84;94.0;57.0;3.74;8.7;10.2;1003.55;1017.25;6.4;32.1;11.94;-4.5;36.0;16.5;6.29
87467;1969;1969-08-31;7.58;54.81;94.0;31.0;2.48;5.5;5.5;1004.73;1018.37;0.29;26.7;10.65;-7.6;36.0;23.7;5.99
87467;1969;1969-09-30;6.14;53.73;97.0;23.0;3.7;15.4;44.8;999.63;1013.01;5.5;34.2;16.84;-0.8;36.0;30.9;6.88
87467;1969;1969-10-31;8.16;53.23;89.0;30.0;2.87;23.1;34.6;1001.19;1014.58;5.72;33.0;17.05;-1.0;36.0;25.2;7.82
87467;1969;1969-11-30;8.8;65.2;96.0;39.0;3.43;62.7;162.5;998.33;1011.51;12.71;34.8;20.66;4.5;36.0;27.8;6.68
87467;1969;1969-12-31;8.92;66.39;87.0;44.0;2.84;16.3;46.900000000000006;998.16;1011.17;16.54;37.6;24.11;11.9;36.0;16.5;4.97
87467;1969;1970-01-31;8.45;68.32;93.0;44.0;3.26;43.0;122.8;997.81;1010.64;16.27;36.4;23.48;10.0;36.0;20.6;5.03
87467;1969;1970-02-28;9.59;74.61;96.0;51.0;2.75;62.5;130.8;997.68;1010.73;18.0;39.0;23.54;7.4;36.0;25.2;4.98
87467;1969;1970-03-31;7.11;76.81;94.0;58.0;3.71;71.2;147.2;999.94;1012.97;16.84;36.4;21.72;8.7;36.0;16.5;5.0
87467;1969;1970-04-30;7.7;76.93;97.0;63.0;2.6;6.0;12.5;999.83;1013.02;15.4;35.4;20.38;7.4;36.0;18.0;4.61
87467;1969;1970-05-31;4.5;76.68;100.0;46.0;3.58;13.7;22.6;1001.25;1014.82;8.42;28.1;13.29;0.1;36.0;19.0;4.43
87467;1970;1970-06-30;5.14;75.63;98.0;43.0;3.5;1.7;5.9;1004.36;1017.89;4.39;21.4;9.63;-3.3;36.0;20.6;5.0
87467;1970;1970-07-31;5.75;68.97;97.0;44.0;2.81;24.6;24.900000000000002;1004.63;1018.42;3.15;29.5;9.78;-5.7;36.0;28.3;6.69
87467;1970;1970-08-31;7.2;62.81;94.0;35.0;2.1;7.0;9.6;1004.54;1018.41;2.62;30.9;10.77;-4.0;36.0;20.6;6.1
87467;1970;1970-09-30;6.26;58.87;98.0;31.0;3.17;26.4;52.8;1001.19;1014.61;6.41;31.4;16.28;-1.9;36.0;25.7;7.12
87467;1970;1970-10-31;6.86;73.16;92.0;54.0;3.94;46.5;112.6;1000.99;1014.47;10.33;31.0;15.74;1.1;36.0;19.0;6.31
87467;1970;1970-11-30;9.66;62.17;87.0;35.0;2.07;17.8;41.400000000000006;999.94;1013.2;10.31;32.6;18.91;3.4;34.0;24.2;6.27
87467;1970;1970-12-31;8.11;57.13;94.0;32.0;2.32;82.2;127.00000000000001;994.39;1007.36;12.15;40.1;22.69;4.8;36.0;18.0;6.07
87467;1970;1971-01-31;8.02;76.71;98.0;59.0;3.71;39.8;170.0;994.73;1007.81;17.51;34.6;22.3;9.3;36.0;20.6;5.34
