omm_id;hydro_year;Date;prcp_PTA;prcp_PMDA;tmax;vmax_f;hr_max/mes;hr;pres_est;tmed;hr_min/mes;tmin
1;2020;2020-12-31;47.4792;10.2768;33.24;4.1;0.91;0.55;1.01;19.59;0.3;6.98
1;2020;2021-01-31;177.4176;39.0936;28.42;3.639;0.99;0.72;1.01;18.93;0.44;9.25
1;2020;2021-02-28;135.82319999999999;30.744;26.81;2.814;0.99;0.76;1.01;18.02;0.57;9.33
1;2020;2021-03-31;90.42960000000001;14.647199999999998;28.59;3.375;0.98;0.75;1.01;17.15;0.57;6.24
1;2020;2021-04-30;55.675200000000004;11.5296;24.35;3.558;0.98;0.79;1.02;15.54;0.5;6.7
1;2020;2021-05-31;14.8536;5.8704;23.53;5.753;0.93;0.66;1.02;11.64;0.36;3.31
87466;2020;2020-12-31;39.3024;12.984000000000002;37.75;7.678;0.77;0.53;1.01;23.45;0.32;9.7
87466;2020;2021-01-31;153.2592;37.2264;35.73;6.319;0.93;0.65;1.01;24.3;0.39;12.51
87466;2020;2021-02-28;31.3104;10.5024;34.08;4.817;0.91;0.65;1.01;23.13;0.4;12.41
87466;2020;2021-03-31;87.0432;32.712;33.36;7.139;0.95;0.72;1.01;21.52;0.55;9.57
87466;2020;2021-04-30;104.0376;25.2264;29.61;6.336;0.95;0.8;1.02;19.18;0.72;6.67
87466;2020;2021-05-31;40.5648;21.5808;28.13;11.0;0.93;0.69;1.02;14.23;0.5;2.33
87467;2020;2020-12-31;40.0656;13.4928;37.78;7.697;0.77;0.53;1.01;23.52;0.31;9.69
87467;2020;2021-01-31;152.6976;36.492;35.76;6.361;0.93;0.65;1.01;24.3;0.39;12.55
87467;2020;2021-02-28;32.496;11.4408;34.25;4.808;0.92;0.65;1.01;23.13;0.4;12.4
87467;2020;2021-03-31;85.25280000000001;31.5936;33.34;7.133;0.95;0.72;1.01;21.52;0.55;9.58
87467;2020;2021-04-30;103.332;24.4056;29.57;6.325;0.95;0.8;1.02;19.2;0.72;6.65
87467;2020;2021-05-31;40.6104;21.7248;28.24;10.989;0.93;0.69;1.02;14.25;0.49;2.36
1;2021;2021-06-30;12.991200000000001;4.392;23.19;3.247;0.85;0.64;1.02;8.8;0.16;-3.35
1;2021;2021-07-31;4.896000000000001;3.2928;23.68;3.189;0.81;0.47;1.02;10.55;0.18;-1.68
1;2021;2021-08-31;1.5336;0.7152000000000001;28.78;3.342;0.75;0.43;1.02;12.16;0.21;-1.52
1;2021;2021-09-30;43.5024;13.812;25.69;5.731;0.91;0.61;1.02;13.26;0.29;3.02
