omm_id;hydro_year;Date;ETreal_mm;HumedadSuelo_mm;IndicePalmer_porc;RadSolar_Wpm2;helio;hr;hr_max/mes;hr_min/mes;nub;prcp_PMDA;prcp_PTA;pres_est;pres_nm;td;tmax;tmed;tmin;vmax_d;vmax_f;vmed
1;1957;1958-01-31;1135.0;51.0;0.59;288.0;;;;;;12.0;37.6;13.79;;;26.7;19.15;11.6;;3.98;
1;1957;1958-02-28;791.0;48.0;0.69;243.4;;;;;;19.3;78.7;14.54;;;26.3;19.3;12.3;;3.95;
1;1957;1958-03-31;781.0;45.0;-0.16;207.3;;;;;;159.0;238.9;12.24;;;22.9;15.9;8.9;;4.13;
1;1957;1958-04-30;276.0;43.0;-0.61;154.5;;;;;;48.0;80.0;10.06;;;19.9;13.45;7.0;;3.71;
1;1957;1958-05-31;181.0;40.0;-0.78;111.6;;;;;;6.1;6.1;6.63;;;15.8;8.9;2.0;;3.96;
1;1958;1958-06-30;178.0;38.0;-0.43;102.2;;;;;;10.0;18.3;6.36;;;14.3;8.3;2.3;;3.8;
1;1958;1958-07-31;417.0;36.0;0.61;95.4;;;;;;7.8;14.3;6.7;;;17.1;10.9;4.7;;4.51;
1;1958;1958-08-31;210.0;35.0;0.84;152.5;;;;;;13.1;34.2;4.58;;;14.6;6.35;-1.9;;4.57;
1;1958;1958-09-30;449.0;33.0;1.08;191.2;;;;;;18.0;40.2;6.13;;;18.8;11.05;3.3;;5.26;
1;1958;1958-10-31;353.0;32.0;-0.77;228.5;;;;;;20.5;73.8;8.63;;;21.1;14.5;7.9;;4.37;
1;1958;1958-11-30;934.0;31.0;0.31;253.2;;;;;;40.0;103.0;10.19;;;23.9;16.85;9.8;;5.28;
1;1958;1958-12-31;787.0;30.0;-0.09;269.7;;;;;;39.0;127.8;10.14;;;23.5;16.45;9.4;;4.13;
1;1958;1959-01-31;679.0;28.0;-0.63;259.8;;;;;;85.0;220.5;13.55;;;24.2;17.5;10.8;;3.65;
1;1958;1959-02-28;941.0;27.0;0.56;246.7;;;;;;;0.0;14.01;;;26.3;19.5;12.7;;3.28;
1;1958;1959-03-31;751.0;27.0;-0.17;204.6;;;;;;;0.0;11.64;;;22.0;15.1;8.2;;3.67;
1;1958;1959-04-30;672.0;26.0;0.98;156.4;;;;;;;0.0;7.82;;;17.7;9.9;2.1;;3.7;
1;1958;1959-05-31;397.0;25.0;1.38;119.3;;;;;;;0.0;6.76;;;15.5;8.3;1.1;;3.62;
1;1959;1959-06-30;322.0;24.0;1.88;98.8;;;;;;;0.0;5.94;;;15.1;6.7;-1.7;;4.3;
1;1959;1959-07-31;339.0;23.0;2.17;107.3;;;;;;;0.0;5.69;;;14.5;7.8;1.1;;3.69;
1;1959;1959-08-31;525.0;23.0;3.31;118.1;;;;;;;0.0;4.62;;;14.3;6.95;-0.4;;3.84;
1;1959;1959-09-30;69.0;22.0;2.27;193.0;;;;;;;0.0;6.3;;;19.4;10.45;1.5;;4.6;
