omm_id,hydro_year,Date,prcp_PMDA,prcp_PTA,pres_est,tmax,tmed,tmin,vmax_f
1,1957,1958-01-31,12,37.6,13.79,26.7,19.15,11.6,3.98
1,1957,1958-02-28,19.3,78.7,14.54,26.3,19.3,12.3,3.95
1,1957,1958-03-31,159,238.9,12.24,22.9,15.9,8.9,4.13
1,1957,1958-04-30,48,80,10.06,19.9,13.45,7,3.71
1,1957,1958-05-31,6.1,6.1,6.63,15.8,8.9,2,3.96
1,1958,1958-06-30,10,18.3,6.36,14.3,8.3,2.3,3.8
1,1958,1958-07-31,7.8,14.3,6.7,17.1,10.9,4.7,4.51
1,1958,1958-08-31,13.1,34.2,4.58,14.6,6.35,-1.9,4.57
1,1958,1958-09-30,18,40.2,6.13,18.8,11.05,3.3,5.26
1,1958,1958-10-31,20.5,73.8,8.63,21.1,14.5,7.9,4.37
1,1958,1958-11-30,40,103,10.19,23.9,16.85,9.8,5.28
1,1958,1958-12-31,39,127.8,10.14,23.5,16.45,9.4,4.13
1,1958,1959-01-31,85,220.5,13.55,24.2,17.5,10.8,3.65
1,1958,1959-02-28,,0,14.01,26.3,19.5,12.7,3.28
1,1958,1959-03-31,,0,11.64,22,15.1,8.2,3.67
1,1958,1959-04-30,,0,7.82,17.7,9.9,2.1,3.7
1,1958,1959-05-31,,0,6.76,15.5,8.3,1.1,3.62
1,1959,1959-06-30,,0,5.94,15.1,6.7,-1.7,4.3
1,1959,1959-07-31,,0,5.69,14.5,7.8,1.1,3.69
1,1959,1959-08-31,,0,4.62,14.3,6.95,-0.4,3.84
1,1959,1959-09-30,,0,6.3,19.4,10.45,1.5,4.6
1,1959,1959-10-31,14,32.4,7.82,21.3,13.05,4.8,4.69
1,1959,1959-11-30,48.5,144,9.93,23.8,15.85,7.9,4.62
1,1959,1959-12-31,53,233.9,12.24,25.8,18.55,11.3,3.9
1,1959,1960-01-31,72,142.8,15.22,28.5,20.65,12.8,3.89
1,1959,1960-02-29,40,78.3,14.45,29.2,20.5,11.8,3.52
1,1959,1960-03-31,21,40.2,11.81,24.9,15.9,6.9,3.45
1,1959,1960-04-30,20.5,45.1,9.77,20,13.2,6.4,3.99
