hydro_year;omm_id;id;helio;hr;nub;prcp;pres_est;pres_nm;td;tmax;tmed;tmin;vmax_d;vmax_f;vmed;caudal;station_elev;n_station
1957;1;32458658;0.0;0.0;0.0;441.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;164590;La Florida
1958;1;78553840;0.0;0.0;0.0;632.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397850;La Florida
1959;1;78902829;0.0;0.0;0.0;724.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398940;La Florida
1960;1;78820655;0.0;0.0;0.0;1085.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397850;La Florida
1960;87244;11476;0.0;9639.0;662.0;582.8;138199.7;0.0;2189.5;3979.0;3028.0;2094.7;0.0;0.0;248.2;0.0;51491;Villa Maria del Rio Seco
1960;87328;3266583;1118.9;0.0;0.0;381.9;0.0;0.0;0.0;4201.9;0.0;2169.9;2821.0;1027.3;0.0;0.0;85919;Villa Dolores Aero
1960;87344;6521690;1073.3;9522.0;542.0;618.8000000000001;116015.9;0.0;1703.1;0.0;2220.6;2060.7;2850.0;1486.6000000000001;286.5;0.0;71574;Cordoba Aero
1960;87345;9776797;983.5;10732.0;680.0;572.3;142544.4;0.0;2208.9;3997.2;3115.9;2109.8;2044.0;1221.1000000000001;153.9;0.0;64326;Cordoba Obs.
1960;87349;13031904;1039.4;11365.0;612.0;462.1;147045.7;0.0;2226.6;0.0;2984.2;2104.4;0.0;0.0;250.9;0.0;51038;Pilar Obs.
1960;87453;16287011;1136.3;10564.0;481.0;433.0;141717.7;0.0;1887.4;0.0;2753.8;0.0;0.0;0.0;549.4;0.0;63571;Rio Cuarto Aero
1960;87467;22387109;1130.9;8780.0;390.0;493.9;112929.6;0.0;1638.1;4026.1;2164.1;246.1;0.0;0.0;371.8;0.0;17214;Marcos Juarez Aero
1960;87534;25642216;1132.0;10987.0;562.0;471.8;150410.0;0.0;2010.4;4025.4;2887.4;1962.5;0.0;0.0;155.1;0.0;20687;Laboulaye Aero
1961;1;78953880;0.0;0.0;0.0;808.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397850;La Florida
1961;87244;121910;0.0;22303.0;1415.0;742.1;348994.7;0.0;4058.7;9251.6;6837.5;3932.4;0.0;0.0;640.4;0.0;124465;Villa Maria del Rio Seco
1961;87328;7990215;2975.1;0.0;0.0;572.6;0.0;0.0;0.0;9370.3;0.0;4249.4;8471.0;3294.7000000000003;0.0;0.0;207685;Villa Dolores Aero
1961;87344;15858520;2797.4;21075.0;1246.0;731.5;301193.1;0.0;3088.2;8781.6;5296.6;4015.1;6284.0;3304.6;870.7;0.0;173010;Cordoba Aero
1961;87345;23726825;2563.4;22439.0;1583.0;786.2;351977.8;0.0;3769.2;9079.8;6828.2;4110.2;4822.0;2758.9;395.0;0.0;155490;Cordoba Obs.
1961;87349;31595130;2688.4;23274.0;1289.0;679.3;336379.9;0.0;3695.4;8195.4;6132.9;4043.8;0.0;0.0;680.4;0.0;123370;Pilar Obs.
1961;87453;39463435;2697.3;20593.0;1042.0;951.5;299396.3;0.0;2643.8;3009.1;4809.7;3563.0;0.0;0.0;1190.0;0.0;153665;Rio Cuarto Aero
1961;87467;54208705;2435.5;16158.0;793.0;961.6;214491.0;0.0;1924.9;8890.4;2999.8;3877.6;0.0;0.0;744.0;0.0;41610;Marcos Juarez Aero
1961;87534;62077010;2717.1;14844.0;838.0;721.5;137951.2;0.0;1797.7;8980.7;3145.7;3687.5;0.0;0.0;274.5;0.0;50005;Laboulaye Aero
1962;1;79087105;0.0;0.0;0.0;516.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397850;La Florida
1962;87244;255135;0.0;21867.0;1344.0;787.9;352207.0;0.0;3854.6;9375.1;6760.1;3925.3;0.0;0.0;626.8;0.0;124465;Villa Maria del Rio Seco
1962;87328;8123440;3050.5;0.0;0.0;505.8;0.0;0.0;0.0;9449.8;0.0;4282.3;8131.0;2953.2000000000003;0.0;0.0;207685;Villa Dolores Aero
1962;87344;15991745;2799.1;23990.0;1383.0;811.9;348551.2;0.0;3553.7;8863.6;6255.4;3969.8;5584.0;2842.8;776.0;0.0;173010;Cordoba Aero
1962;87345;23860050;2671.4;20969.0;1563.0;723.5;352356.2;0.0;3306.5;9129.6;6921.5;4193.7;4732.0;3110.6;531.9;0.0;155490;Cordoba Obs.
1962;87349;31728355;2766.7;21091.0;1233.0;570.8;331875.1;0.0;3416.5;9119.6;6255.4;4027.1;20.0;195.0;636.1;0.0;123370;Pilar Obs.
1962;87453;39596660;2707.8;23647.0;1190.0;768.2;349935.2;0.0;3195.1;8326.0;5896.6;3855.5;0.0;0.0;1453.0;0.0;153665;Rio Cuarto Aero
1962;87467;54341930;2411.5;26267.0;1220.0;753.9;355694.9;0.0;4132.6;8898.9;6078.7;3805.8;0.0;0.0;1588.2;0.0;41610;Marcos Juarez Aero
1962;87534;62210235;2790.7;10829.0;525.0;760.6;150548.7;0.0;2019.8;9017.0;2945.2;3603.0;8751.0;3754.0;290.1;0.0;50005;Laboulaye Aero
1963;1;79437555;0.0;0.0;0.0;409.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;398940;La Florida
1963;87244;389607;0.0;23293.0;1781.0;835.8;356650.1;0.0;4502.7;9160.8;7084.4;4247.5;0.0;0.0;498.2;0.0;124806;Villa Maria del Rio Seco
1963;87328;8279469;2469.4;0.0;0.0;460.5;0.0;0.0;0.0;9333.4;0.0;4497.8;4064.0;1306.9;0.0;0.0;208254;Villa Dolores Aero
1963;87344;16169331;2147.7;26095.0;1718.0;764.8;351016.8;0.0;4056.1;8697.2;6280.1;4196.9;579.0;197.70000000000002;1189.1;0.0;173484;Cordoba Aero
1963;87345;24059193;2202.5;22638.0;1989.0;669.4;352901.3;0.0;3752.6;8872.3;6900.8;4473.4;5966.0;3161.8;561.7;0.0;155916;Cordoba Obs.
1963;87349;31949055;2333.3;24297.0;1667.0;643.0;353903.6;0.0;3935.7;8757.8;6551.8;4217.5;40.0;335.5;658.2;0.0;123708;Pilar Obs.
1963;87453;39838917;2180.9;12313.0;814.0;828.3;172940.6;0.0;1101.7;8037.9;2296.5;3980.3;0.0;0.0;742.2;0.0;154086;Rio Cuarto Aero
1963;87467;54624585;2001.5;28278.0;1440.0;753.5;366328.4;0.0;4408.5;8726.6;6167.7;4021.0;0.0;0.0;1874.3;0.0;41724;Marcos Juarez Aero
1963;87534;62514447;2277.2;24102.0;1410.0;797.6;337299.0;0.0;3381.9;8688.7;5484.5;3778.4;8955.0;3706.0;659.7;0.0;50142;Laboulaye Aero
1964;1;79353920;0.0;0.0;0.0;884.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;397850;La Florida
1964;87244;521950;0.0;15979.0;1283.0;506.7;353860.5;0.0;2887.8;9342.2;7063.1;3082.6;1080.0;127.3;479.7;0.0;124465;Villa Maria del Rio Seco
1964;87328;8390255;2782.0;0.0;0.0;675.7;0.0;0.0;0.0;9096.5;0.0;4065.1;8994.0;2870.2000000000003;0.0;0.0;207685;Villa Dolores Aero
