Date;omm_id;nombre;summary;temperatura;humidity;pressure;windSpeed;uvIndex;temperatureMin;temperatureMax;precipAccumulation
2020-12-03;Marcos Juarez Aero;87467;;25.455;0.46;1010.0;10.89;12;20.57;30.34;0.1248
2020-12-04;Marcos Juarez Aero;87467;Overcast throughout the day.;18.59;0.59;1021.1;17.38;5;13.65;23.53;0.384
2020-12-05;Marcos Juarez Aero;87467;Clear throughout the day.;17.29;0.46;1024.5;9.59;11;9.69;24.89;0.0168
2020-12-06;Marcos Juarez Aero;87467;Clear throughout the day.;18.675;0.54;1020.2;10.38;12;10.48;26.87;0.0
2020-12-07;Marcos Juarez Aero;87467;Clear throughout the day.;20.765;0.52;1015.8;14.36;13;11.87;29.66;0.0288
2020-12-08;Marcos Juarez Aero;87467;Clear throughout the day.;24.29;0.59;1013.5;14.56;10;15.68;32.9;0.0
2020-12-09;Marcos Juarez Aero;87467;Clear throughout the day.;26.765;0.55;1013.0;15.51;14;17.36;36.17;0.0576
2020-12-10;Marcos Juarez Aero;87467;Clear throughout the day.;28.975;0.48;1004.1;27.71;14;20.17;37.78;0.0864
2020-12-11;Marcos Juarez Aero;87467;Partly cloudy throughout the day.;23.62;0.44;1008.5;23.08;11;17.62;29.62;1.8239999999999998
2020-12-12;Marcos Juarez Aero;87467;Rain overnight.;21.06;0.49;1006.3;12.57;7;13.63;28.49;2.0928
2020-12-13;Marcos Juarez Aero;87467;Rain in the morning.;21.0;0.59;1012.5;21.15;9;15.35;26.65;4.8192
2020-12-14;Marcos Juarez Aero;87467;Clear throughout the day.;20.96;0.31;1009.4;18.91;13;11.17;30.75;0.0456
2020-12-15;Marcos Juarez Aero;87467;Mostly cloudy throughout the day.;22.65;0.53;1009.4;13.04;7;15.28;30.02;0.11280000000000001
2020-12-16;Marcos Juarez Aero;87467;Clear throughout the day.;22.515;0.49;1014.0;11.84;13;13.54;31.49;0.0072
2020-12-17;Marcos Juarez Aero;87467;Clear throughout the day.;25.71;0.34;1010.9;14.69;9;15.66;35.76;0.0264
2020-12-18;Marcos Juarez Aero;87467;Heavy rain in the evening and overnight.;26.994999999999997;0.58;1003.3;17.9;7;21.3;32.69;13.4928
2020-12-19;Marcos Juarez Aero;87467;Clear throughout the day.;20.5;0.7;1005.1;27.24;13;14.98;26.02;5.6112
2020-12-20;Marcos Juarez Aero;87467;Clear throughout the day.;19.625;0.6;1013.7;13.05;10;12.6;26.65;0.024
2020-12-21;Marcos Juarez Aero;87467;Clear throughout the day.;21.875;0.5;1016.6;8.47;13;12.95;30.8;0.0
2020-12-22;Marcos Juarez Aero;87467;Clear throughout the day.;24.575000000000003;0.45;1014.0;16.07;13;16.27;32.88;0.0288
2020-12-23;Marcos Juarez Aero;87467;Clear throughout the day.;25.4;0.4;1011.1;16.71;14;17.0;33.8;0.0216
2020-12-24;Marcos Juarez Aero;87467;Clear throughout the day.;26.979999999999997;0.45;1009.3;14.18;12;18.3;35.66;0.019200000000000002
