Date;omm_id;nombre;summary;temperatura;humidity;pressure;windSpeed;uvIndex;temperatureMin;temperatureMax;precipAccumulation
2020-12-04;Marcos Juarez INTA;87466;;19.285;0.38;1022.7;15.07;5;15.08;23.49;0.0288
2020-12-05;Marcos Juarez INTA;87466;Clear throughout the day.;17.225;0.46;1024.3;9.6;11;9.7;24.75;0.0168
2020-12-06;Marcos Juarez INTA;87466;Clear throughout the day.;18.634999999999998;0.54;1020.0;10.32;12;10.45;26.82;0.0
2020-12-07;Marcos Juarez INTA;87466;Clear throughout the day.;20.725;0.52;1015.6;14.27;12;11.85;29.6;0.0288
2020-12-08;Marcos Juarez INTA;87466;Clear throughout the day.;24.255;0.59;1013.4;14.49;10;15.65;32.86;0.0
2020-12-09;Marcos Juarez INTA;87466;Clear throughout the day.;26.71;0.55;1012.9;15.39;14;17.3;36.12;0.0576
2020-12-10;Marcos Juarez INTA;87466;Clear throughout the day.;28.945;0.48;1004.2;27.64;14;20.14;37.75;0.0864
2020-12-11;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;23.64;0.44;1008.4;23.09;11;17.68;29.6;1.7616
2020-12-12;Marcos Juarez INTA;87466;Rain overnight.;21.02;0.49;1006.3;12.64;7;13.58;28.46;2.0856000000000003
2020-12-13;Marcos Juarez INTA;87466;Rain in the morning.;20.939999999999998;0.59;1012.5;21.12;9;15.25;26.63;4.9104
2020-12-14;Marcos Juarez INTA;87466;Clear throughout the day.;20.905;0.32;1009.3;18.82;13;11.16;30.65;0.0456
2020-12-15;Marcos Juarez INTA;87466;Mostly cloudy throughout the day.;22.64;0.53;1009.2;12.95;7;15.3;29.98;0.1104
2020-12-16;Marcos Juarez INTA;87466;Clear throughout the day.;22.48;0.49;1013.9;11.79;13;13.55;31.41;0.0072
2020-12-17;Marcos Juarez INTA;87466;Clear throughout the day.;25.655;0.34;1010.8;14.59;9;15.61;35.7;0.0264
2020-12-18;Marcos Juarez INTA;87466;Heavy rain in the evening and overnight.;26.964999999999996;0.58;1003.4;17.93;7;21.27;32.66;12.984000000000002
2020-12-19;Marcos Juarez INTA;87466;Clear throughout the day.;20.515;0.7;1004.9;27.28;13;15.02;26.01;5.784
2020-12-20;Marcos Juarez INTA;87466;Clear throughout the day.;19.62;0.6;1013.5;13.16;11;12.62;26.62;0.024
2020-12-21;Marcos Juarez INTA;87466;Clear throughout the day.;21.82;0.5;1016.5;8.37;13;12.92;30.72;0.0
2020-12-22;Marcos Juarez INTA;87466;Clear throughout the day.;24.53;0.45;1013.9;15.97;13;16.23;32.83;0.0288
2020-12-23;Marcos Juarez INTA;87466;Clear throughout the day.;25.340000000000003;0.41;1011.1;16.59;14;16.94;33.74;0.0216
2020-12-24;Marcos Juarez INTA;87466;Clear throughout the day.;26.975;0.45;1009.2;14.07;12;18.34;35.61;0.019200000000000002
2020-12-25;Marcos Juarez INTA;87466;Mostly cloudy throughout the day.;27.855000000000004;0.52;1010.9;7.85;9;21.12;34.59;0.06
2020-12-26;Marcos Juarez INTA;87466;Clear throughout the day.;28.134999999999998;0.57;1010.6;9.17;10;20.47;35.8;0.1776
2020-12-27;Marcos Juarez INTA;87466;Mostly cloudy throughout the day.;28.200000000000003;0.56;1011.1;13.1;8;21.34;35.06;0.0624
2020-12-28;Marcos Juarez INTA;87466;Windy in the afternoon and evening.;25.985;0.74;1011.2;13.6;11;21.23;30.74;0.20879999999999999
2020-12-29;Marcos Juarez INTA;87466;Humid and partly cloudy throughout the day.;26.77;0.77;1007.7;5.85;10;20.5;33.04;0.0576
2020-12-30;Marcos Juarez INTA;87466;Rain and windy in the morning.;21.095;0.73;1008.9;19.23;10;17.0;25.19;10.665600000000001
2020-12-31;Marcos Juarez INTA;87466;Clear throughout the day.;19.82;0.55;1014.6;7.72;14;12.01;27.63;0.0432
2021-01-01;Marcos Juarez INTA;87466;Clear throughout the day.;23.245;0.61;1014.0;13.6;10;14.97;31.52;0.0528
2021-01-02;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;26.02;0.58;1013.0;16.94;14;18.57;33.47;0.0696
2021-01-03;Marcos Juarez INTA;87466;Overcast throughout the day.;25.939999999999998;0.6;1011.4;14.99;6;22.11;29.77;0.09840000000000002
2021-01-04;Marcos Juarez INTA;87466;Mostly cloudy throughout the day.;26.29;0.68;1008.4;10.71;8;20.5;32.08;0.036000000000000004
2021-01-05;Marcos Juarez INTA;87466;Mostly cloudy throughout the day.;23.275;0.76;1009.9;22.75;7;19.94;26.61;0.6215999999999999
2021-01-06;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;21.675;0.75;1011.9;21.67;10;16.19;27.16;0.0648
2021-01-07;Marcos Juarez INTA;87466;Clear throughout the day.;23.095;0.52;1010.4;11.27;14;13.39;32.8;0.0168
2021-01-08;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;25.835;0.41;1010.1;16.18;12;17.77;33.9;0.2952
2021-01-09;Marcos Juarez INTA;87466;Rain in the morning.;24.585;0.59;1010.0;14.65;10;17.06;32.11;4.1088
2021-01-10;Marcos Juarez INTA;87466;Rain in the evening and overnight.;26.770000000000003;0.65;1006.3;14.87;11;18.95;34.59;5.6064
2021-01-11;Marcos Juarez INTA;87466;Rain in the morning.;25.22;0.8;1006.0;18.19;8;20.55;29.89;20.183999999999997
2021-01-12;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;21.259999999999998;0.5;1016.9;13.58;12;14.3;28.22;0.040799999999999996
2021-01-13;Marcos Juarez INTA;87466;Clear throughout the day.;23.28;0.58;1017.4;16.09;13;15.7;30.86;0.0144
2021-01-14;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;24.325000000000003;0.6;1013.5;19.92;10;17.19;31.46;0.2496
2021-01-15;Marcos Juarez INTA;87466;Rain in the morning and afternoon.;23.810000000000002;0.82;1006.8;12.74;6;19.73;27.89;17.496
2021-01-16;Marcos Juarez INTA;87466;Possible light rain in the afternoon.;21.645000000000003;0.81;1006.5;16.76;6;17.62;25.67;4.0416
2021-01-17;Marcos Juarez INTA;87466;Clear throughout the day.;20.445;0.54;1012.5;19.25;12;12.95;27.94;0.012
2021-01-18;Marcos Juarez INTA;87466;Clear throughout the day.;21.715;0.39;1014.3;8.47;13;12.51;30.92;0.019200000000000002
2021-01-19;Marcos Juarez INTA;87466;Clear throughout the day.;23.565;0.46;1015.2;11.61;12;14.57;32.56;0.012
2021-01-20;Marcos Juarez INTA;87466;Clear throughout the day.;25.150000000000002;0.52;1015.7;12.66;14;16.71;33.59;0.0168
2021-01-21;Marcos Juarez INTA;87466;Clear throughout the day.;25.38;0.53;1015.8;12.69;14;17.15;33.61;0.024
2021-01-22;Marcos Juarez INTA;87466;Partly cloudy throughout the day.;27.095000000000002;0.64;1015.4;14.91;11;19.6;34.59;0.0576
2021-01-23;Marcos Juarez INTA;87466;Humid throughout the day.;28.494999999999997;0.69;1011.8;14.54;12;21.26;35.73;0.8712
2021-01-24;Marcos Juarez INTA;87466;Humid and partly cloudy throughout the day.;28.14;0.72;1008.7;12.49;10;21.7;34.58;1.9824000000000002
